"track_id","track_name","release_date","duration_ms","popularity","cover_album","artists_names","artists_ids"
"5UqHSo5nnD63ZrMrliARte","Maahrokh","2023-04-19","167836","19","https://i.scdn.co/image/ab67616d0000b2738512cb89974fce1c9571f9ad","Gdaal,Mahta","7mGDv3CYlPghTIWzE6tOpv,6zh7GsXZwLCpvBnFifKsNz"
"6bJYxnGau5bTOpa3WtLFSK","Tabestoon Kootahe","2019-04-20","358712","38","https://i.scdn.co/image/ab67616d0000b273971de101f78f6258d2d609fb","Zedbazi","4tXhsMzLWZ1WL952nYBPTL"
"4bNVpJqNmjJa1LGDmWl4nm","Bemoon","2023-03-31","179578","5","https://i.scdn.co/image/ab67616d0000b2732ae2b7a1d3f8131d0ed98a49","Pouriya Adroit","7lH1vL9VXRSTutpZ0JOyim"
"2RdoYCeux2UK9ahVSLE01q","Busted 2","2023-02-21","116427","6","https://i.scdn.co/image/ab67616d0000b273b2340cacb789bf51fa081e8d","Eycin","3jXjY8STCMtS1T6d7xdw0r"
"7j0qIOa6F7fMDevyu2tvto","Bayad Bashim (Remix) [feat. Taham]","2014-03-25","262009","1","https://i.scdn.co/image/ab67616d0000b27388ea4b6c9c30a617239778fa","Erfan,Taham","1yPzb9mqugowOfUs2vIOgL,0Wuyv5K3nFRvaQq3WIb2Ww"
"4Urtnw2AOKUuoznc4Fk7bs","Too Rah","2017-09-14","237983","4","https://i.scdn.co/image/ab67616d0000b273589870e031a5cfe0922a46f5","Amir Tataloo,Duzakh","5CEosSs2y4M9THNGI6mej8,7Cxgd9RwzLyvuGWKcuIJnK"
"3q48gAbDGWv8GsedOZusK7","HipHopoEnergy","2020-09-18","180154","2","https://i.scdn.co/image/ab67616d0000b273e7a1f7a73e9401b1e66242ec","Hamed Slash","4b2hA3kHcQPL9xi44QubYP"
"60vAP2IUsTfBfHqZj2UIAF","Salamati","2013-01-16","291099","0","https://i.scdn.co/image/ab67616d0000b273a1a27b848fb9c6638b3c3f97","Ben","2WribQGnFbkNfPEXauQxts"
"59lnIexq2ehCMBSBtnbaWv","Rose Zard","2023-06-19","208535","18","https://i.scdn.co/image/ab67616d0000b2734d00909dced117e2663fb0b9","Ali Ardavan,Behzad Leito","1j0dFZXmMgFlDAcjFh490M,4zNEj5bkHE0kNSpfIwgdvu"
"5ye4eJ0LDqgKj3IvHhiadh","Lahze","2021-09-28","267142","0","https://i.scdn.co/image/ab67616d0000b273944ccdc0a84577ef1283b564","Sinab,Elena","3zyb1Z44UDJ1JFzG6a3JID,4AnjHyPi2RC5iaUIUoD3uw"
"5Zez2DFsxt8rfx6OzczprH","Ghatele Taghdir","2019-08-29","231729","0","https://i.scdn.co/image/ab67616d0000b2739302e4e17d190a8bceeac38f","Bidar,Shemrooni","1mgBS6W9CtjivBhF8tG03l,5gDIUjIzukvLljBLkZPZi4"
"40qWsFowq6xm8ZWc487cp3","Donya Maleh Mast (feat. Sami Beigi)","2014-03-25","262531","26","https://i.scdn.co/image/ab67616d0000b27388ea4b6c9c30a617239778fa","Erfan,Sami Beigi","1yPzb9mqugowOfUs2vIOgL,05xOq3llEmAYBHDUsgHpi2"
"1R9ib4qO7ED3XgIptINX2F","Sefid o siah","2024-05-03","205714","29","https://i.scdn.co/image/ab67616d0000b273baedc13142a84ae222edc3dd","Sepehr Khalse,Yasna","2SFwcduI9cdZsG6UxnBm3C,1AgzczUS8G43vZPHu2vN6a"
"2PUk6D16l2lSDjhpVbik0b","Jen","2023-09-27","173538","20","https://i.scdn.co/image/ab67616d0000b273b31f3fbb63cab35e89bb5989","Sadegh","1PgsdK1Ll4oK28g6KLPOg1"
"3pvi47CAGRwrtcKKaNDFe8","Jetlag","2023-08-11","221946","22","https://i.scdn.co/image/ab67616d0000b2733ee2ad5cdf7694be0a18fec5","Sepehr Khalse,Behzad Leito","2SFwcduI9cdZsG6UxnBm3C,4zNEj5bkHE0kNSpfIwgdvu"
"5x5NdkwDLCkmsNKX3SEboH","Nemishi to bad","2019-12-17","180035","0","https://i.scdn.co/image/ab67616d0000b273d03a6b0de86b4830365115d2","Kaveh","6fR4bmvdi3nLYzLji6JVK1"
"5BFB6mSy7Tx485cxbGAhIi","Against The Gravity","2021-06-14","170000","0","https://i.scdn.co/image/ab67616d0000b2737898e8233cf4183815fb067e","Shemrooni,MARDA$","4zuyCgnXCf6stVpIZAVhPn,6BiAL9xURELiWN5RWk6ezk"
"5jeJqpmbyr3JlbmZs4uyQf","DISTANCE","2021-06-15","170155","10","https://i.scdn.co/image/ab67616d0000b273bd10d8124db953abcd814601","Chvrsi","7Hj58arwOvp6exTny9r5Ie"
"5T6bF5uEbp2hRtn7DHqWkz","Siah Chaaleh","2021-04-10","180000","0","https://i.scdn.co/image/ab67616d0000b273a1d99db0743b3175f11a9e5b","Saye","70VY9ezhAJYmrnD2nBLAK2"
"5SdkngBIhtIEuiLTnx2XNU","MDNM","2023-02-24","191629","21","https://i.scdn.co/image/ab67616d0000b273f8cdee52d24dc704e4f4e9e0","poobon","4hdsAoRTkGU11DynAg7iTw"
"6OCGIO6MJZIpExjwIWskhc","Kojae","2020-11-13","184084","8","https://i.scdn.co/image/ab67616d0000b27354c320a2ea794c8349c02b10","Putak","1VURARf1CD5wkFgIexChyq"
"2HLNb0232TsBco966PYo9M","Abu Lajan","2021-09-11","216000","4","https://i.scdn.co/image/ab67616d0000b273dd41b987c6c101989b74efee","Bamdad,Tahrang","28PKM2pUlv1CXnc98XFVrY,53OMZXAUtknLKmcwKtyuE7"
