"track_id","track_name","release_date"
"5c8hHmyIAcHFsX6mbK510c","Khodaya Mercy - Funkagenda Remix","2020-09-25"
"6sBKN9LisPxpSe60axcn3M","Kabk","2023-07-07"
"7FAVC8N1IREbzOp5EZn8bH","Well Done","2023-11-26"
"3T6cKPIdNDTI5JJtFtTSwR","Bemoon Ba Man","2021-10-21"
"6Q5pZI9g4yxVJHihJKlcWF","Amazing","2018-02-05"
"3ibJVBhNlWeeUfBgaRV7Lz","Keybaz - Alternative Version","2019-10-18"
"2tnjImYeIIurrOVayNFXji","RIRI","2022-07-26"
"6wSmfd06Viug6j2C1koS7C","Tariktarin","2023-02-24"
"16dERXbEiHg3EaB8u1AqnC","Boz","2024-06-22"
"4itPFU2YpEnZ69RtZlw4b4","AK46","2022-03-28"
"3OAb5gRMngrFAnewdffrYn","BABY","2021-03-15"
"6ONnvcZbQIpgd2ywigJHYI","Haji Daskhosh","2020-01-01"
"5CZvrmfuqCz8ajlkJJaMPo","Yeki az ma","2022-11-15"
"0n2bIzSXOHdpgjJMdFPWRX","Killa View","2024-05-05"
"1B8XJLtbcq3UPUAHfLflZa","Iran","2017-06-29"
"0I4FDDNlSdZMqKLoimDiqe","Esalat","2019-12-31"
"1RWA7XUDW8Zc7e2hfYnwMi","100%","2020-11-28"
"6Z4pkrjMoCfcUg22qT0P5V","Tehran","2023-12-04"
"6Eh6s8vsy67L4ENpyjGCeE","Mano Bebakhsh","2011-12-29"
"4ulhFDGGcjY52G3YtHwzIQ","Zendegi","2012-11-12"
"2SuRzsef1AL4SvVHuap6wC","Sarzamine Madari","2012-11-12"
"0UviDlxvFjcGbrTk3TEDjm","Chi Shenidi? (feat. Hichkas)","2012-11-12"
"2pV8lnVRXSZphwYhNSViP7","Jabe Jadooyi","2012-11-12"
"5GNlCVLQLoKsGNOmUrXt1v","80 (feat. Quf)","2012-11-12"
"3mGteoHlC0EZfK57GnyNcS","Nemidoonam","2012-11-12"
"705Y77F4JwzqnhnioqRFJq","Te Amo","2023-11-22"
"38Z6hRIFktKZIOjZJ7v2AN","Baazi","2015-04-28"
"48Q1lQI26NLvADs3NDgdAz","Koja Dari Miri","2022-02-26"
"12ZRheLAIVSmBu1Oqrqb6B","Man","2016-07-07"
"52Ofm4uxjcblQeCrHwGfu1","Tangi Nafas","2019-10-04"
"5Zj86FNYiGQFfryxRMmBZF","Nameyi Be Farzand","2016-10-12"
"7AjuyDPJZj6MIRBFJyYSUG","Tehran","2024-07-27"
"1NnuYP4uqa5Wu5lHPH5h38","Shaaban","2013-12-08"
"6Ac8t79F2Q6AGOcldjTViD","Ki Mese To - Remix","2020-02-22"
"0ld4p64xxXRjfLKTgWwW14","Sahm","2021-11-09"
"60FrlIUHyqotpDzf0kwhpc","Jang Setiz","2021-11-09"
"4fvXG8aTKr2jykei3pzyu4","Gham Gerefte Hame Kooche Haye Ma Ro","2021-11-09"
"0ebfS86AgnlXzcrKKXXdVx","Entezar","2021-11-09"
"1G1BID6jvVDrsB5fXuJKdc","Parvaz","2021-11-09"
"4XU0vFUsQG13DljrkYyWNg","Khooneye Amn","2021-11-09"
"0TYD5SHReLsKOuKcpGZWAg","To Am Fereshteh Am Naboodi","2021-11-09"
"4K2Uyka9isUWTrc4mzPyMR","Harki Be Ma Resid 2","2021-11-09"
"1TAOcW8Z1ksBdsEKveuis0","Ghafas","2021-11-09"
"5jj4pqOudJsvXBVqX4OQs3","Khodaya Mercy (DJ Mamsi Remix)","2017-09-09"
"6kBPFlgPd7oJgLqN95fwj0","Too Kooche Ma Ham Aroosi Mishe - Instrumental","2019-05-10"
"3iBx1C4CWFx4Hf3lUNrSMn","Agha Komak Kon","2016-05-24"
"5bW1EmtmViZODsYKX42bR7","Tarkam Nakon","2010-12-27"
"6I1dH3l25tztatvZN0cX7E","Aroosake Bi Cheshm O Roo","2012-05-19"
"7lzQzDC9iJbP93XzJTNFOa","Raasta","2019-05-20"
"3Ol7ZTJWsjblQQlOr1NB2a","Axolamal","2018-01-20"
"4fsc5i955yIob9GtilT9TA","Shaghayegh","2019-02-26"
