"track_url","page_name","track_title","plays","likes","comments","upload_datetime","cover_url"
"https://soundcloud.com/amintijayy/noore-maah","Amin Tijay","Noore Maah","51925","1024","22","2022-01-01T16:03:27.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/koja-bemoonam","Amin Tijay","Koja Bemoonam","38548","715","41","2022-01-01T16:03:14.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/koolock","Amin Tijay","Koolock","67629","1249","37","2022-01-01T16:03:01.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/hawp-ft-radochi","Amin Tijay","Haw ( feat. Radochi)","33601","589","35","2022-01-01T16:02:49.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/mehmoonemoon-1","Amin Tijay","Mehmoonemoon","37297","689","20","2022-01-01T16:02:36.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/rangin-kamoon-ft-young-1","Amin Tijay","Rangin Kamoon (Ft. Young Sudden & Arash Saretan)","4039205","48300","1514","2022-01-01T16:02:24.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/morvarid-ft-ali-k-1","Amin Tijay","Morvarid (Ft. Ali K)","80937","1581","91","2022-01-01T16:02:12.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/bia-bebin-ft-38-kusha-1","Amin Tijay","Bia Bebin (Ft. 38 & Kusha)","174620","1563","48","2022-01-01T16:02:11.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/serrr-1","Amin Tijay","Serrr","49357","872","59","2022-01-01T16:02:09.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/nagoo-dire-1","Amin Tijay","Nagoo Dire","140372","2862","94","2022-01-01T16:01:57.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/hame-k-1","Amin Tijay","Hame K","39104","708","34","2022-01-01T16:01:45.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/ya-to-1","Amin Tijay","Ya To","32880","639","65","2022-01-01T16:01:31.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/kaboos-1","Amin Tijay","Kaboos","24251","449","20","2022-01-01T16:01:17.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/inja-tehrane-1","Amin Tijay","Inja Tehrane","58302","930","17","2022-01-01T16:01:02.000Z","https://i1.sndcdn.com/artworks-EuaXUzqPTIkBXho1-iq3UjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/besuz","Amin Tijay","Besuz","151921","2738","511","2021-12-28T13:21:28.000Z","https://i1.sndcdn.com/artworks-oRLe14syFzvfpLg7-PQIdiw-t50x50.jpg"
