"album_id","album_name","total_tracks","release_date","album_type","artist_names","artist_ids","cover"
"0wahiSvdIs2WMbPhoWKbfQ","Mano Dari","1","2011-12-17","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851c2084bbab857d40e298b5c08"
"3BVE2PNpAxYe3ptK3g33mk","Eyval","1","2011-12-01","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851565a55744880641fec124b64"
"5Kv42ZSpV51JLSQJqrRm2q","Gorg","1","2011-11-19","single","Reza Pishro,Ho3ein,Amir Tataloo","0u4qrFczDmAsJesHPgbnru,5vVveQB8n4kETe67waTS3t,5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048519ffe3ddb6d56592a2071196f"
"1gNHPFgBLYUGY68ZXDFvvV","Etefaghe Taze","1","2011-11-01","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851193e626ef0fc93669013af72"
"1MIaGfaw0Dup0yrm9HqcNX","To Be Harfe Man Goosh Kon","1","2011-10-15","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048513e3bfa8ffe74f4dbc3a99d02"
"1NulDMdAnWH7TaYtVpOFyf","Man O To","1","2011-10-15","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485111104ec1e12ad8bceebc4dd7"
"4qITTUrmRF77BGsVGtZuGx","Delbar","1","2011-10-01","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485112e5bbcdc03d300d9f37fdaa"
"0aKpkqwVK77Ih24gTZgXER","Pedar","1","2011-09-27","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048510d9984743846c3112c3da920"
"2OZhd1f0etSGLBgCnmT16A","Intro","1","2011-09-25","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851de811eae9245cb2a80e6728e"
"70Cc47EvY2M0GLAE4Lz63S","Raze Amir","1","2011-09-11","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851e98afde46d8a76ac6fd2bbae"
"2Kqv3mZMTagpcC0Uo4BOqb","Ghavi Tar Az Hamishe","1","2011-09-11","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048514b7334332682e0f659a2544b"
"6Pk9izTikZ0C3ZbNgJnY0o","Cheshmaye Vahshi","1","2011-09-01","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048512e4888921ac31c54d9adaef3"
"3LQfo5TXjFU8RuEqGIL1NB","Begoo To Chi Mikhay","1","2011-08-12","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851e44fba409ebcaf06551fcd04"
"6O9vOXOLWyRmoFatwD8LCn","Zire Saghfe Tehroon","1","2011-08-06","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485160ae8952725ad530bb4d4a0e"
"537EyBExQ2cO8DRnFwgSIP","Parastoo","1","2011-08-06","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048510bef286d30bde2f90671c72a"
"58secozg1rH0wqkUKZwOHu","Zirehhamkaf","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048514ad48a2d1c472f31c2557e9a"
"297AbCqmYzksKDAKkhyLDN","Ye Khahesh","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048518ed97615514592b35c44af3c"
"4jsGqxiMYczNF5RFmxWYs7","Shahrivari","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048513baabc0e3bc86cb130cfd911"
"2GOT4WrOfbIJFKH48CabqB","Nagofte Budi","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851d60a77160457a71f35b4e338"
"6YxR7o2AHMpsOpc8SGLYdD","Man Aroomam","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048518f8017a8dae0ff4757fd8497"
"4MKVbB1ISlBifhRjnFUzTE","Lalaei","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485187a93f0927466732be7397b3"
"3pRLNrnu4aolSgBWxk0aoQ","Kheyli Balam","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048513cff6626991ec883aeff82f0"
"5kxVsqlrHLIL6yrU8k5WRk","Khabam Nemibare","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851eb9c53550804a40306abb223"
"0CdMxMnQ5hKnqxRLR0pXj8","Javoonaye Japoni","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851260efd89e0c4b341b93eff0b"
"0rzQdf7F7ZetYROucxJysB","Hesse Mamooli","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851be9ee6f535fe53d392e0271f"
"1yCMHdjbk5VEDMjRvv9Bpa","Hesse Khoob","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851be41f9c40c2cd4638441d12e"
"42MOLAwYEmZfwyrQZR4ige","Dad Nazan","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485155cc80aae018a2e274afa2b2"
"2SOyPvQ1IjifVhGxoRApEE","Bonbast","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048511dc6b1251503cde55ffdd4d2"
"5qZbr2tOxySKod8z6iLJPr","Badtar Shod","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485180e9a7748de3283bf38f8d20"
"62Ndr01Chf590s2WY7iwNl","Alo 2","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851900a96709ce24c87be1b92d7"
"4qZDJQqtrywJ0ySRDBt7Vc","Alo","1","2011-08-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851783adec98599b4a144c758a3"
"4B0kRq8PitBcqqy9F93ysW","Mishnavam Migi","1","2011-06-22","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851c0a4c27d2a0809f1d2ed5af8"
"5hjzR4vH9OnMHPFnL8wQcY","Khodahafez","1","2011-06-20","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048511bbafd25932a2197bd3ada03"
"18g9YGit6xpAq2yBqMMCWH","Sana Heyran","1","2011-06-01","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851eb80e678077bf32adb37109b"
"4zNVkgkHMMK70lOlLQZXGe","Miram Az Pishet","1","2011-05-23","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485120b228ac75b0e702cd3023ab"
"4E3RrgS3LKqs294YbYxZgY","Pishesh Nimishinam","1","2011-05-01","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851278cf9976e373c10233b12c0"
"0bIDuFKtrViNF97lvtUgvE","Fardaye Ma","1","2011-04-16","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048510878805e436dad5d8c3d722d"
"7jArES93FARIyLPpv0nGXE","Nobate Mane","1","2011-04-01","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485166474e9e8b0ba466014761d7"
"1Oa8ROhar1XzwWV1C2QjLB","Cheshmaye Gorbe","1","2011-03-20","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048514dee37dbb9ebbae792b79a73"
"15kyzTWnHAt2DXGUGn7XuL","Shab","1","2011-03-01","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851bf972c98e51172bab2bbd94a"
"7BYRoYYfIEwNMmskHkLqLT","Halgiri","1","2011-02-01","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851d715731ed43d54596648cbf3"
"3ytPnvWCOrBDyCbUIYhJsO","Zire Hamkaf","1","2011-01-18","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851989cbb46177d15b87c585916"
"4Dj5yZ0sV8HpPL4DU32sry","Rooze Jome","1","2011-01-18","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048515984a4f05df69793c91a3172"
"4TrxZIeuuf6LrLUTbpTJmo","Oon Rooz","1","2011-01-18","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048518cddcce3849d19da9034a609"
"1p1IPqqfpK5ZiszzTT8STf","Ba Yade To","1","2011-01-18","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851303b41143d6493074f8c5a71"
"0HL3HN63QBHbxsDfhslZJb","Age Rastesho Bekhay","1","2011-01-18","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851bd7f4ea5bda4bdcb5ef8ae82"
"1CMTNoQMuJhpl13fbmT9AC","Gorg","1","2011-01-01","single","Ho3ein,Amir Tataloo,Reza Pishro","5vVveQB8n4kETe67waTS3t,5CEosSs2y4M9THNGI6mej8,0u4qrFczDmAsJesHPgbnru","https://i.scdn.co/image/ab67616d000048518b1f98a5fc18419f776925a5"
"1j38evsh3PI06VTbiyd6Be","Ye Seda","1","2011","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048516542a11ac2f13f5dbe7ac355"
"0S0C9cGPZ4PJruLHcxdTNr","Hanooz Yadesh Hast","1","2011","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851810dc5a8629f0b239521142c"
